,asin,meta,Title,Author
46,0060081600,"{'ISBN-13': '9780060081607', 'Title': 'The Night Before Christmas', 'Authors': ['Clement C. Moore'], 'Publisher': 'HarperCollins Publishers', 'Year': '2002', 'Language': 'eng'}",The Night Before Christmas,Clement C. Moore
47,0060098902,"{'ISBN-13': '9780060098902', 'Title': 'The Great Gatsby', 'Authors': ['F. Scott Fitzgerald'], 'Publisher': 'Harper Audio', 'Year': '2002', 'Language': 'eng'}",The Great Gatsby,F. Scott Fitzgerald
48,006016848X,"{'ISBN-13': '9780060168483', 'Title': 'Men Are From Mars, Women Are From Venus: A Practical Guide For Improving Communication And Getting What You Want In Your Relationships', 'Authors': ['John Gray'], 'Publisher': 'HarperCollins', 'Year': '1992', 'Language': 'eng'}","Men Are From Mars, Women Are From Venus: A Practical Guide For Improving Communication And Getting What You Want In Your Relationships",John Gray
49,0060175400,"{'ISBN-13': '9780060175405', 'Title': 'The Poisonwood Bible A Novel', 'Authors': ['Barbara Kingsolver'], 'Publisher': 'Alexandria Library', 'Year': '2007', 'Language': 'eng'}",The Poisonwood Bible A Novel,Barbara Kingsolver
50,0060175966,"{'ISBN-13': '9780060175962', 'Title': 'The Professor And The Madman: A Tale Of Murder, Insanity, And The Making Of The Oxford English Dictionary', 'Authors': ['Simon Winchester'], 'Publisher': 'HarperCollins Publishers', 'Year': '1998', 'Language': 'eng'}","The Professor And The Madman: A Tale Of Murder, Insanity, And The Making Of The Oxford English Dictionary",Simon Winchester
51,0060188707,"{'ISBN-13': '9780060188702', 'Title': 'Don Quixote', 'Authors': ['Miguel de Cervantes. A new transl. by Edith Grossman. Introd. by Harold Bloom'], 'Publisher': 'Ecco Press', 'Year': '2003', 'Language': 'eng'}",Don Quixote,Miguel de Cervantes. A new transl. by Edith Grossman. Introd. by Harold Bloom
52,0060193395,"{'ISBN-13': '9780060193393', 'Title': 'Body-For-Life: 12 Weeks To Mental And Physical Strength', 'Authors': [""Bill Phillips with Michael D'Orso""], 'Publisher': 'HarperCollins Publishers', 'Year': '1999', 'Language': 'eng'}",Body-For-Life: 12 Weeks To Mental And Physical Strength,Bill Phillips with Michael D'Orso
53,0060194480,"{'ISBN-13': '9780060194482', 'Title': ""A People's History Of The United States: 1492-Present"", 'Authors': ['Howard Zinn'], 'Publisher': 'HarperCollins', 'Year': '1999', 'Language': 'eng'}",A People's History Of The United States: 1492-Present,Howard Zinn
54,0060194995,"{'ISBN-13': '9780060194994', 'Title': 'To Kill A Mockingbird', 'Authors': ['Harper Lee'], 'Publisher': 'HarperCollinsPublishers', 'Year': '1999', 'Language': 'eng'}",To Kill A Mockingbird,Harper Lee
55,0060254920,"{'ISBN-13': '9780060254926', 'Title': 'Where The Wild Things Are', 'Authors': ['story and pictures by Maurice Sendak'], 'Publisher': 'Harper Trophy/HarperCollins', 'Year': '1984', 'Language': 'eng'}",Where The Wild Things Are,story and pictures by Maurice Sendak
56,0060256656,"{'ISBN-13': '9780060256654', 'Title': 'The Giving Tree', 'Authors': ['by Shel Silverstein'], 'Publisher': 'Harper and Row', 'Year': '1977', 'Language': 'eng'}",The Giving Tree,by Shel Silverstein
57,0060273224,"{'ISBN-13': '9780060273224', 'Title': 'Sabriel', 'Authors': ['Garth Nix'], 'Publisher': 'HarperCollins', 'Year': '1995', 'Language': 'eng'}",Sabriel,Garth Nix
58,0060277270,"{'ISBN-13': '9780060277277', 'Title': 'The Lion, The Witch, And The Wardrobe', 'Authors': ['C.S. Lewis', 'illustrations [with full color plates] by Pauline Baynes'], 'Publisher': 'HarperCollinsPublishers', 'Year': '1994', 'Language': 'eng'}","The Lion, The Witch, And The Wardrobe",C.S. Lewis
59,0060293233,"{'ISBN-13': '9780060293239', 'Title': 'The Wizard Of Oz', 'Authors': ['by L. Frank Baum', 'with pictures by W.W. Denslow'], 'Publisher': 'Reilly & Lee', 'Year': '1956', 'Language': 'eng'}",The Wizard Of Oz,by L. Frank Baum
60,0060391626,"{'ISBN-13': '9780060391621', 'Title': 'I Know This Much Is True', 'Authors': ['Wally Lamb'], 'Publisher': 'Regan Books', 'Year': '1998', 'Language': 'eng'}",I Know This Much Is True,Wally Lamb
61,0060392452,"{'ISBN-13': '9780060392451', 'Title': 'Stupid White Men: And Other Sorry Excuses For The State Of The Nation!', 'Authors': ['Michael Moore'], 'Publisher': 'HarperCollins', 'Year': '2001', 'Language': 'eng'}",Stupid White Men: And Other Sorry Excuses For The State Of The Nation!,Michael Moore
62,0060393491,"{'ISBN-13': '9780060393496', 'Title': 'The Hour I First Believed: A Novel', 'Authors': ['Wally Lamb'], 'Publisher': 'HarperCollins Publishers', 'Year': '2008', 'Language': 'eng'}",The Hour I First Believed: A Novel,Wally Lamb
63,0060510862,"{'ISBN-13': '9780060510862', 'Title': 'The Forever War', 'Authors': ['Joe Haldeman'], 'Publisher': 'Avonova', 'Year': '1997', 'Language': 'eng'}",The Forever War,Joe Haldeman
64,0060512806,"{'ISBN-13': '9780060512804', 'Title': 'Cryptonomicon', 'Authors': ['Neal Stephenson'], 'Publisher': 'Avon Press', 'Year': '2002', 'Language': 'eng'}",Cryptonomicon,Neal Stephenson
65,0060515198,"{'ISBN-13': '9780060515195', 'Title': 'Anansi Boys', 'Authors': ['Neil Gaiman'], 'Publisher': 'HarperTorch', 'Year': '2005', 'Language': 'eng'}",Anansi Boys,Neil Gaiman
66,0060518499,"{'ISBN-13': '9780060518493', 'Title': ""Manhunt: The Twelve-Day Chase For Lincoln's Killer"", 'Authors': ['James L. Swanson'], 'Publisher': 'William Morrow', 'Year': '2006', 'Language': 'eng'}",Manhunt: The Twelve-Day Chase For Lincoln's Killer,James L. Swanson
67,0060520841,"{'ISBN-13': '9780060520847', 'Title': 'BIAS: A CBS Insider Exposes How The Media Distort The News', 'Authors': ['Bernard Goldberg'], 'Publisher': 'Perennial', 'Year': '2003', 'Language': 'eng'}",BIAS: A CBS Insider Exposes How The Media Distort The News,Bernard Goldberg
68,0060525509,"{'ISBN-13': '9780060525507', 'Title': 'Into The Wild', 'Authors': ['Erin Hunter'], 'Publisher': 'Avon Books', 'Year': '2004', 'Language': 'eng'}",Into The Wild,Erin Hunter
69,0060527463,"{'ISBN-13': '9780060527464', 'Title': 'The Velveteen Rabbit', 'Authors': ['Thea Kliros'], 'Publisher': 'HarperFestival', 'Year': '2004', 'Language': 'eng'}",The Velveteen Rabbit,Thea Kliros
70,0060529709,"{'ISBN-13': '9780060529703', 'Title': 'Everything Is Illuminated: A Novel', 'Authors': ['Jonathan Safran Foer'], 'Publisher': 'Perennial', 'Year': '2003', 'Language': 'eng'}",Everything Is Illuminated: A Novel,Jonathan Safran Foer
71,0060530928,"{'ISBN-13': '9780060530921', 'Title': 'The Graveyard Book', 'Authors': ['Neil Gaiman', 'with illustrations by Dave McKean'], 'Publisher': 'HarperCollins Pub.', 'Year': '2008', 'Language': 'eng'}",The Graveyard Book,Neil Gaiman
72,0060539844,"{'ISBN-13': '9780060539849', 'Title': 'Party Crashers', 'Authors': ['Stephanie Bond'], 'Publisher': 'Avon Books', 'Year': '2004', 'Language': 'eng'}",Party Crashers,Stephanie Bond
73,0060554738,"{'ISBN-13': '9780060554736', 'Title': 'The Game: Penetrating The Secret Society Of Pickup Artists', 'Authors': ['Neil Strauss'], 'Publisher': 'HC', 'Year': '2005', 'Language': 'eng'}",The Game: Penetrating The Secret Society Of Pickup Artists,Neil Strauss
74,0060558121,"{'ISBN-13': '9780060558123', 'Title': 'American Gods: A Novel', 'Authors': ['Neil Gaiman'], 'Publisher': 'Perennial', 'Year': '2003', 'Language': 'eng'}",American Gods: A Novel,Neil Gaiman
75,006056251X,"{'ISBN-13': '9780060562519', 'Title': 'Devil In Winter', 'Authors': ['Lisa Kleypas'], 'Publisher': 'Avon', 'Year': '2006', 'Language': 'eng'}",Devil In Winter,Lisa Kleypas
76,0060572965,"{'ISBN-13': '9780060572969', 'Title': 'Dead Witch Walking', 'Authors': ['Kim Harrison'], 'Publisher': 'Eos', 'Year': '2007', 'Language': 'eng'}",Dead Witch Walking,Kim Harrison
77,0060572973,"{'ISBN-13': '9780060572976', 'Title': 'The Good, The Bad, And The Undead', 'Authors': ['Kim Harrison'], 'Publisher': 'Eos', 'Year': '2007', 'Language': 'eng'}","The Good, The Bad, And The Undead",Kim Harrison
78,0060573775,"{'ISBN-13': '9780060573775', 'Title': 'Slaughterhouse 5', 'Authors': ['Kurt Vonnegut', 'performed by Ethan Hawke'], 'Publisher': 'Caedom', 'Year': '2003', 'Language': 'und'}",Slaughterhouse 5,Kurt Vonnegut
79,0060575913,"{'ISBN-13': '9780060575915', 'Title': 'Coraline', 'Authors': ['Neil Gaiman', 'with illustrations by Dave McKean'], 'Publisher': 'HarperTrophy', 'Year': '2004', 'Language': 'eng'}",Coraline,Neil Gaiman
80,0060580674,"{'ISBN-13': '9780060580674', 'Title': 'Sandstorm', 'Authors': ['James Rollins'], 'Publisher': 'Avon Books', 'Year': '2007', 'Language': 'eng'}",Sandstorm,James Rollins
81,0060582510,"{'ISBN-13': '9780060582517', 'Title': 'Deliver Us From Evil: Defeating Terrorism, Despotism, And Liberalism', 'Authors': ['Sean Hannity'], 'Publisher': 'ReganBooks', 'Year': '2004', 'Language': 'eng'}","Deliver Us From Evil: Defeating Terrorism, Despotism, And Liberalism",Sean Hannity
82,0060584750,"{'ISBN-13': '9780060584757', 'Title': 'Mystic River', 'Authors': ['Dennis Lehane'], 'Publisher': 'Harper', 'Year': '2003', 'Language': 'eng'}",Mystic River,Dennis Lehane
83,0060586125,"{'ISBN-13': '9780060586126', 'Title': 'Three Wishes: A Novel', 'Authors': ['Liane Moriarty'], 'Publisher': 'HarperCollins', 'Year': '2004', 'Language': 'eng'}",Three Wishes: A Novel,Liane Moriarty
84,0060589469,"{'ISBN-13': '9780060589462', 'Title': 'Zen And The Art Of Motorcycle Maintenance: An Inquiry Into Values', 'Authors': ['Robert M. Pirsig'], 'Publisher': 'Morrow', 'Year': '1974', 'Language': 'eng'}",Zen And The Art Of Motorcycle Maintenance: An Inquiry Into Values,Robert M. Pirsig
85,0060590270,"{'ISBN-13': '9780060590277', 'Title': 'A Dirty Job', 'Authors': ['Christopher Moore'], 'Publisher': 'Morrow', 'Year': '2006', 'Language': 'eng'}",A Dirty Job,Christopher Moore
86,0060590319,"{'ISBN-13': '9780060590314', 'Title': 'Fool', 'Authors': ['Christopher Moore'], 'Publisher': 'William Morrow', 'Year': '2009', 'Language': 'eng'}",Fool,Christopher Moore
87,0060593083,"{'ISBN-13': '9780060593087', 'Title': 'Quicksilver', 'Authors': ['Neal Stephenson'], 'Publisher': 'Perennial/HarperCollins', 'Year': '2003', 'Language': 'eng'}",Quicksilver,Neal Stephenson
88,0060594667,"{'ISBN-13': '9780060594664', 'Title': 'Crooked Letter, Crooked Letter', 'Authors': ['Tom Franklin'], 'Publisher': 'William Morrow', 'Year': '2010', 'Language': 'eng'}","Crooked Letter, Crooked Letter",Tom Franklin
89,0060598859,"{'ISBN-13': '9780060598853', 'Title': 'Back To The Bedroom', 'Authors': ['Janet Evanovich'], 'Publisher': 'Harper Torch', 'Year': '2005', 'Language': 'eng'}",Back To The Bedroom,Janet Evanovich
90,0060652926,"{'ISBN-13': '9780060652920', 'Title': 'Mere Christianity: A Revised And Amplified Edition, With A New Introduction, Of The Three Books, Broadcast Talks, Christian Behaviour, And Beyond Personality', 'Authors': ['C.S. Lewis'], 'Publisher': 'HarperOne', 'Year': '2001', 'Language': 'eng'}","Mere Christianity: A Revised And Amplified Edition, With A New Introduction, Of The Three Books, Broadcast Talks, Christian Behaviour, And Beyond Personality",C.S. Lewis
91,0060652934,"{'ISBN-13': '9780060652937', 'Title': 'The Screwtape Letters: With, Screwtape Proposes A Toast', 'Authors': ['C.S. Lewis'], 'Publisher': 'HarperOne', 'Year': '2000', 'Language': 'eng'}","The Screwtape Letters: With, Screwtape Proposes A Toast",C.S. Lewis
92,0060652950,"{'ISBN-13': '9780060652951', 'Title': 'The Great Divorce: A Dream', 'Authors': ['C.S. Lewis'], 'Publisher': 'HarperCollins/HarperOne', 'Year': '2001', 'Language': 'eng'}",The Great Divorce: A Dream,C.S. Lewis
93,006073132X,"{'ISBN-13': '9780060731328', 'Title': 'Freakonomics: A Rogue Economist Explores The Hidden Side Of Everything', 'Authors': ['Steven D. Levitt and Stephen J. Dubner'], 'Publisher': 'Morrow', 'Year': '2005', 'Language': 'eng'}",Freakonomics: A Rogue Economist Explores The Hidden Side Of Everything,Steven D. Levitt and Stephen J. Dubner
94,0060734019,"{'ISBN-13': '9780060734015', 'Title': 'Bridge To Terabithia', 'Authors': ['Katherine Paterson', 'illustrated by Donna Diamond'], 'Publisher': 'HarperTeen', 'Year': '2008', 'Language': 'eng'}",Bridge To Terabithia,Katherine Paterson
95,0060738170,"{'ISBN-13': '9780060738174', 'Title': 'Misquoting Jesus: The Story Behind Who Changed The Bible And Why', 'Authors': ['Bart D. Ehrman'], 'Publisher': 'HarperSanFrancisco', 'Year': '2005', 'Language': 'eng'}",Misquoting Jesus: The Story Behind Who Changed The Bible And Why,Bart D. Ehrman
96,0060740450,"{'ISBN-13': '9780060740450', 'Title': 'One Hundred Years Of Solitude', 'Authors': ['Gabriel García Márquez', 'translated from the Spanish by Gregory Rabassa'], 'Publisher': 'Harper Perennial', 'Year': '1998', 'Language': 'eng'}",One Hundred Years Of Solitude,Gabriel García Márquez
97,0060741872,"{'ISBN-13': '9780060741877', 'Title': 'Alas, Babylon', 'Authors': ['Pat Frank', 'foreword by David Brin'], 'Publisher': 'Harper Perennial Modern Classics', 'Year': '2005', 'Language': 'eng'}","Alas, Babylon",Pat Frank
98,006074815X,"{'ISBN-13': '9780060748159', 'Title': 'Eye Of The Needle', 'Authors': ['Ken Follett'], 'Publisher': 'Harper/Dark Alley', 'Year': '2005', 'Language': 'eng'}",Eye Of The Needle,Ken Follett
99,0060751967,"{'ISBN-13': '9780060751968', 'Title': 'How To Marry A Millionaire Vampire', 'Authors': ['Kerrelyn Sparks'], 'Publisher': 'Avon', 'Year': '2005', 'Language': 'eng'}",How To Marry A Millionaire Vampire,Kerrelyn Sparks
101,0060755334,"{'ISBN-13': '9780060755331', 'Title': 'On The Road', 'Authors': ['Jack Kerouac'], 'Publisher': 'HarperCollinsPublishers, Inc.', 'Year': '2000', 'Language': 'eng'}",On The Road,Jack Kerouac
102,0060755598,"{'ISBN-13': '9780060755591', 'Title': ""The E-Myth Revisited Why Most Small Businesses Don't Work And What To Do About It"", 'Authors': ['Michael E. Gerber'], 'Publisher': 'Harper Audio', 'Year': '2004', 'Language': 'eng'}",The E-Myth Revisited Why Most Small Businesses Don't Work And What To Do About It,Michael E. Gerber
103,006075995X,"{'ISBN-13': '9780060759957', 'Title': 'Divine Secrets Of The Ya-Ya Sisterhood: A Novel', 'Authors': ['Rebecca Wells'], 'Publisher': 'Perennial', 'Year': '2004', 'Language': 'eng'}",Divine Secrets Of The Ya-Ya Sisterhood: A Novel,Rebecca Wells
104,0060761288,"{'ISBN-13': '9780060761288', 'Title': '100 People Who Are Screwing Up America-- And Al Franken Is #37', 'Authors': ['Bernard Goldberg'], 'Publisher': 'HarperCollins', 'Year': '2005', 'Language': 'eng'}",100 People Who Are Screwing Up America-- And Al Franken Is #37,Bernard Goldberg
105,0060763280,"{'ISBN-13': '9780060763282', 'Title': 'Secrets Of The Millionaire Mind: Mastering The Inner Game Of Wealth', 'Authors': ['T. Harv Eker'], 'Publisher': 'HarperCollins Publishers', 'Year': '2005', 'Language': 'eng'}",Secrets Of The Millionaire Mind: Mastering The Inner Game Of Wealth,T. Harv Eker
106,0060764864,"{'ISBN-13': '9780060764869', 'Title': 'The Heart Is A Lonely Hunter', 'Authors': ['Carson McCullers', 'performed by Cherry Jones'], 'Publisher': 'Harper Audio', 'Year': '2004', 'Language': 'eng'}",The Heart Is A Lonely Hunter,Carson McCullers
107,0060764902,"{'ISBN-13': '9780060764906', 'Title': ""The Magician's Nephew"", 'Authors': ['C.S. Lewis'], 'Publisher': 'HarperCollins', 'Year': '1983', 'Language': 'eng'}",The Magician's Nephew,C.S. Lewis
108,0060765240,"{'ISBN-13': '9780060765248', 'Title': 'Map Of Bones: A Sigma Force Novel', 'Authors': ['James Rollins'], 'Publisher': 'Avon Books', 'Year': '2005', 'Language': 'eng'}",Map Of Bones: A Sigma Force Novel,James Rollins
109,0060775858,"{'ISBN-13': '9780060775858', 'Title': 'Goodnight Moon', 'Authors': ['by Margaret Wise Brown', 'pictures by Clement Hurd'], 'Publisher': 'Harper Collins Publishers', 'Year': '2005', 'Language': 'eng'}",Goodnight Moon,by Margaret Wise Brown
110,0060779632,"{'ISBN-13': '9780060779634', 'Title': 'Help For The Haunted: A Novel', 'Authors': ['John Searles'], 'Publisher': 'HarperCollins Publishers', 'Year': '2013', 'Language': 'eng'}",Help For The Haunted: A Novel,John Searles
111,0060794410,"{'ISBN-13': '9780060794415', 'Title': ""Good To Great Why Some Companies Make The Leap ...And Others Don't"", 'Authors': ['written and read by Jim Collins'], 'Publisher': 'Harper Audio', 'Year': '2001', 'Language': 'eng'}",Good To Great Why Some Companies Make The Leap ...And Others Don't,written and read by Jim Collins
112,0060817089,"{'ISBN-13': '9780060817084', 'Title': ""Marley And Me: Love, Life, And Drywall Repair With The World's Worst Dog"", 'Authors': ['John Grogan'], 'Publisher': 'Morrow', 'Year': '2005', 'Language': 'eng'}","Marley And Me: Love, Life, And Drywall Repair With The World's Worst Dog",John Grogan
